code,name
000001,平安银行
000002,万  科Ａ
000029,深深房Ａ
000032,深桑达Ａ
000034,神州数码
000063,中兴通讯
000069,华侨城Ａ
000088,盐 田 港
000099,中信海直
000100,TCL科技
000157,中联重科
000166,申万宏源
000301,东方盛虹
000333,美的集团
000338,潍柴动力
000408,藏格矿业
000415,渤海租赁
000422,湖北宜化
000423,东阿阿胶
000425,徐工机械
000426,兴业银锡
000429,粤高速Ａ
000519,中兵红箭
000528,柳    工
000537,绿发电力
000538,云南白药
000539,粤电力Ａ
000543,皖能电力
000547,航天发展
000555,神州信息
000568,泸州老窖
000581,威孚高科
000582,北部湾港
000591,太阳能
000596,古井贡酒
000617,中油资本
000623,吉林敖东
000625,长安汽车
000628,高新发展
000629,钒钛股份
000630,铜陵有色
000636,风华高科
000651,格力电器
000657,中钨高新
000682,东方电子
000688,国城矿业
000703,恒逸石化
000708,中信特钢
000723,美锦能源
000725,京东方Ａ
000733,振华科技
000737,北方铜业
000739,普洛药业
000766,通化金马
000768,中航西飞
000776,广发证券
000783,长江证券
000791,甘肃能源
000792,盐湖股份
000799,酒鬼酒
000800,一汽解放
000801,四川九洲
000807,云铝股份
000825,太钢不锈
000830,鲁西化工
000831,中国稀土
000858,五 粮 液
000875,电投绿能
000876,新 希 望
000877,天山股份
000878,云南铜业
000893,亚钾国际
000895,双汇发展
000902,新洋丰
000927,中国铁物
000932,华菱钢铁
000933,神火股份
000935,四川双马
000938,紫光股份
000951,中国重汽
000959,首钢股份
000963,华东医药
000966,长源电力
000967,盈峰环境
000969,安泰科技
000973,佛塑科技
000975,山金国际
000977,浪潮信息
000987,越秀资本
000988,华工科技
000999,华润三九
001203,大中矿业
001213,中铁特货
001221,悍高集团
001267,汇绿生态
001280,中国铀业
001286,陕西能源
001287,中电港
001289,龙源电力
001309,德明利
001386,马可波罗
001389,广合科技
001391,国货航
001696,宗申动力
001872,招商港口
001965,招商公路
001979,招商蛇口
002001,新 和 成
002015,协鑫能科
002027,分众传媒
002028,思源电气
002032,苏 泊 尔
002044,美年健康
002049,紫光国微
002050,三花智控
002060,广东建工
002064,华峰化学
002074,国轩高科
002080,中材科技
002091,江苏国泰
002096,易普力
002120,韵达股份
002126,银轮股份
002129,TCL中环
002130,沃尔核材
002131,利欧股份
002138,顺络电子
002139,拓邦股份
002142,宁波银行
002151,北斗星通
002152,广电运通
002153,石基信息
002155,湖南黄金
002156,通富微电
002157,正邦科技
002176,江特电机
002179,中航光电
002180,奔图科技
002185,华天科技
002195,岩山科技
002202,金风科技
002203,海亮股份
002222,福晶科技
002223,鱼跃医疗
002230,科大讯飞
002236,大华股份
002237,恒邦股份
002240,盛新锂能
002241,歌尔股份
002244,滨江集团
002245,蔚蓝锂芯
002249,大洋电机
002252,上海莱士
002261,拓维信息
002262,恩华药业
002265,建设工业
002266,浙富控股
002268,电科网安
002270,华明装备
002271,东方雨虹
002273,水晶光电
002281,光迅科技
002294,信立泰
002299,圣农发展
002304,洋河股份
002311,海大集团
002318,久立特材
002320,海峡股份
002335,科华数据
002340,格林美
002352,顺丰控股
002353,杰瑞股份
002368,太极股份
002371,北方华创
002372,伟星新材
002373,千方科技
002378,章源钨业
002384,东山精密
002385,大北农
002389,航天彩虹
002402,和而泰
002405,四维图新
002408,齐翔腾达
002409,雅克科技
002410,广联达
002414,高德红外
002415,海康威视
002416,爱施德
002422,科伦药业
002423,中粮资本
002428,云南锗业
002429,兆驰股份
002432,九安医疗
002436,兴森科技
002439,启明星辰
002444,巨星科技
002456,欧菲光
002459,晶澳科技
002460,赣锋锂业
002461,珠江啤酒
002463,沪电股份
002465,海格通信
002466,天齐锂业
002468,申通快递
002472,双环传动
002475,立讯精密
002484,江海股份
002487,大金重工
002493,荣盛石化
002497,雅化集团
002500,山西证券
002506,协鑫集成
002507,涪陵榨菜
002508,老板电器
002517,恺英网络
002518,科士达
002531,天顺风能
002532,天山铝业
002544,普天科技
002545,东方铁塔
002555,三七互娱
002558,巨人网络
002563,森马服饰
002568,百润股份
002583,海能达
002594,比亚迪
002595,豪迈科技
002600,领益智造
002601,龙佰集团
002602,世纪华通
002603,以岭药业
002607,中公教育
002608,江苏国信
002617,露笑科技
002624,完美世界
002625,光启技术
002648,卫星化学
002653,海思科
002670,国盛证券
002673,西部证券
002690,美亚光电
002698,博实股份
002701,奥瑞金
002709,天赐材料
002714,牧原股份
002716,湖南白银
002736,国信证券
002738,中矿资源
002739,儒意电影
002747,埃斯顿
002755,奥赛康
002756,永兴材料
002773,康弘药业
002797,第一创业
002812,恩捷股份
002821,凯莱英
002831,裕同科技
002837,英维克
002841,视源股份
002847,盐津铺子
002851,麦格米特
002895,川恒股份
002901,大博医疗
002906,华阳集团
002916,深南电路
002920,德赛西威
002925,盈趣科技
002926,华西证券
002938,鹏鼎控股
002939,长城证券
002945,华林证券
002948,青岛银行
002958,青农商行
002978,安宁股份
002984,森麒麟
003021,兆威机电
003022,联泓新科
003031,中瓷电子
003035,南网能源
003816,中国广核
300001,特锐德
300002,神州泰岳
300003,乐普医疗
300009,安科生物
300012,华测检测
300014,亿纬锂能
300015,爱尔眼科
300017,网宿科技
300024,机器人
300033,同花顺
300034,钢研高纳
300037,新宙邦
300054,鼎龙股份
300058,蓝色光标
300059,东方财富
300070,碧水源
300073,当升科技
300088,长信科技
300100,双林股份
300102,乾照光电
300115,长盈精密
300122,智飞生物
300124,汇川技术
300136,信维通信
300142,沃森生物
300144,宋城演艺
300146,汤臣倍健
300182,捷成股份
300207,欣旺达
300223,北京君正
300229,拓尔思
300236,上海新阳
300251,光线传媒
300253,卫宁健康
300255,常山药业
300274,阳光电源
300285,国瓷材料
300296,利亚德
300308,中际旭创
300316,晶盛机电
300339,润和软件
300346,南大光电
300347,泰格医药
300357,我武生物
300364,中文在线
300373,扬杰科技
300383,光环新网
300390,天华新能
300394,天孚通信
300395,菲利华
300408,三环集团
300413,芒果超媒
300418,昆仑万维
300428,立中集团
300432,富临精工
300433,蓝思科技
300438,鹏辉能源
300442,润泽科技
300450,先导智能
300454,深信服
300456,赛微电子
300457,赢合科技
300458,全志科技
300459,汤姆猫
300468,四方精创
300474,景嘉微
300475,香农芯创
300476,胜宏科技
300487,蓝晓科技
300496,中科创达
300498,温氏股份
300502,新易盛
300529,健帆生物
300548,长芯博创
300558,贝达药业
300567,精测电子
300568,星源材质
300570,太辰光
300573,兴齐眼药
300601,康泰生物
300604,长川科技
300620,光库科技
300623,捷捷微电
300627,华测导航
300628,亿联网络
300638,广和通
300660,江苏雷利
300661,圣邦股份
300666,江丰电子
300672,国科微
300674,宇信科技
300676,华大基因
300677,英科医疗
300679,电连技术
300682,朗新科技
300699,光威复材
300718,长盛轴承
300724,捷佳伟创
300726,宏达电子
300735,光弘科技
300747,锐科激光
300748,金力永磁
300750,宁德时代
300751,迈为股份
300757,罗博特科
300759,康龙化成
300760,迈瑞医疗
300761,立华股份
300763,锦浪科技
300765,石药创新
300773,拉卡拉
300775,三角防务
300776,帝尔激光
300777,中简科技
300779,惠城环保
300782,卓胜微
300803,指南针
300811,铂科新材
300832,新产业
300857,协创数据
300866,安克创新
300870,欧陆通
300888,稳健医疗
300896,爱美客
300910,瑞丰新材
300919,中伟新材
300953,震裕科技
300957,贝泰妮
300972,万辰集团
300979,华利集团
300999,金龙鱼
301029,怡合达
301039,中集车辆
301095,广立微
301155,海力风电
301165,锐捷网络
301171,易点天下
301200,大族数控
301205,联特科技
301217,铜冠铜箔
301219,腾远钴业
301236,软通动力
301238,瑞泰新材
301267,华厦眼科
301269,华大九天
301275,汉朔科技
301297,富乐德
301301,川宁生物
301308,江波龙
301316,慧博云通
301345,涛涛车业
301358,湖南裕能
301377,鼎泰高科
301498,乖宝宠物
301511,德福科技
301526,国际复材
301536,星宸科技
301550,斯菱智驱
301589,诺瓦星云
301606,绿联科技
301611,珂玛科技
301626,苏州天脉
301656,联合动力
302132,中航成飞
600000,浦发银行
600009,上海机场
600010,包钢股份
600011,华能国际
600015,华夏银行
600016,民生银行
600018,上港集团
600019,宝钢股份
600023,浙能电力
600025,华能水电
600026,中远海能
600027,华电国际
600028,中国石化
600029,南方航空
600030,中信证券
600031,三一重工
600036,招商银行
600039,四川路桥
600048,保利发展
600050,中国联通
